,Debt Category,"Amount Outstanding inUSD","Amount Outstanding inNGN",Unnamed: 3,file,"Amount Outstandingin NGN",Amount Outstanding in NGN,Unnamed: 1,Amount Outstanding,Unnamed: 4,Amount Outstanding.1,Unnamed: 6,Unnamed: 0,Amount Outstanding (US$M),Amount Outstanding (NM),"Amount Outstanding(US$M)","Amount Outstanding(NM)",% of Total,Unnamed: 5,Unnamed: 2,"AmountOutstanding",Unnamed: 8,Unnamed: 10,"AmountOutstanding(NM)"
0,Total External Debt,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2765.csv,,,,,,,,A.,"25,274.36","7,759,229.99",,,,,,,,,
1,FGN only,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2765.csv,,,,,,,,,"21,043.65","6,460,399.86",,,,,,,,,
2,States & FCT,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2765.csv,,,,,,,,,"4,230.72","1,298,830.13",,,,,,,,,
3,Total Domestic Debt,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2765.csv,,,,,,,,B.,"54,162.35","16,627,841.75",,,,,,,,,
4,FGN Only,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2765.csv,,,,,,,,,"41,610.44","12,774,405.70",,,,,,,,,
5,States & FCT,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2765.csv,,,,,,,,,"12,551.91","3,853,436.05",,,,,,,,,
6,Total Public Debt(A+B),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2765.csv,,,,,,,,c.,"79,436.72","24,387,071.74",,,,,,,,,
0,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,,,,,,,,,,,,
1,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,,,,,,,,,,,,
2,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,Debt Category,,,,,,,,,,,
3,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2849.csv,,,,,,,,ebt Category,,,,,,,,,,,
